image_filename,opencv_haar,insightface,mtcnn,yolo_face,face_detection,face_detection_tflite
haan_ghil_muulnaat_1780561024785.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561038944.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561076876.png,1,1,1,0,1,0
haan_ghil_muulnaat_1780561079937.png,0,0,1,1,0,1
haan_ghil_muulnaat_1780561087853.png,0,0,1,0,0,1
haan_ghil_muulnaat_1780561090415.png,0,0,1,1,0,0
haan_ghil_muulnaat_1780561092793.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561094434.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561098743.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561104805.png,1,1,1,1,1,0
haan_ghil_muulnaat_1780561106265.png,0,1,1,0,0,0
haan_ghil_muulnaat_1780561107623.png,0,0,1,1,1,0
haan_ghil_muulnaat_1780561109210.png,0,0,1,1,1,1
_0 (1).png,0,1,1,1,0,0
_0 (10).png,1,1,1,1,0,1
_0 (11).png,0,1,1,1,0,1
_0 (12).png,0,0,0,0,0,0
_0 (13).png,1,1,1,1,1,1
_0 (14).png,0,1,1,1,0,1
_0 (15).png,0,1,1,1,0,1
_0 (16).png,0,1,1,1,0,0
_0 (17).png,1,1,1,1,1,0
_0 (18).png,0,0,1,1,0,0
_0 (19).png,0,1,1,1,0,0
_0 (2).png,0,1,1,1,0,1
_0 (20).png,1,1,1,1,0,1
_0 (3).png,0,1,0,1,0,0
_0 (4).png,0,0,0,1,0,0
_0 (5).png,0,1,1,1,0,0
_0 (6).png,0,0,0,1,0,0
_0 (7).png,0,1,1,1,0,0
_0 (8).png,0,1,1,1,0,0
_0 (9).png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561380761.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561381312.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561381787.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561382802.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561383291.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561383883.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561384390.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561384957.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561385604.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561386210.png,0,1,1,0,0,0
haan_ghil_muulnaat_1780561386876.png,0,1,1,0,0,0
haan_ghil_muulnaat_1780561387353.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561387938.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561388557.png,0,0,1,0,0,0
haan_ghil_muulnaat_1780561389232.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561389786.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561390389.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561390874.png,0,1,1,0,0,1
haan_ghil_muulnaat_1780561391358.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561391915.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561392379.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561392879.png,0,1,1,1,0,1
